92,BBC1
105,BBC2
32,ITV1 Yorkshire
134,Five
248,Sky One
2063,Sky Movies HD1
2064,Sky Movies HD2
1994,BBC HD
2056,Channel 4 HD
2008,Five US
160,Film4
262,Sky Sports 1
264,Sky Sports 2
265,Sky Sports 3
45,BBC3
47,BBC4
185,ITV2
1859,ITV3
1961,ITV4
158,E4
1959,More4
2062,Fiver
122,Bravo
176,Men & Motors
482,CBBC
483,CBeebies
165,Jetix
166,Jetix +1
922,Sky Two
1963,Sky Three
1971,FX+
1972,More4 +1
1990,ITV2 +1
24,ITV1 Anglia
25,ITV1 Border
26,ITV1 London
27,ITV1 Carlton Central
28,Channel
29,ITV1 Granada
30,ITV1 Meridian
31,ITV1 Tyne Tees
32,ITV1 Yorkshire
33,ITV1 Carlton West Country
35,ITV1 Wales
36,ITV1 West
37,STV (was Grampian/Scottish)
22,National Geographic Wild
38,UTV
39,Animal Planet
40,Sky Arts
43,B4U Movies
44,BBC America
45,BBC3
47,BBC4
48,BBC News
49,BBC Parliament
50,BBC Prime
2057,Discovery Real Time Extra
2058,Movies4Men
2059,True Movies
90,BBC World (CET)
92,BBC1
93,BBC1 East
94,BBC1 London & South East
95,BBC1 Midlands
96,BBC1 North
97,BBC1 North East
98,BBC1 North West
99,BBC1 Northern Ireland
100,BBC1 Wales
101,BBC1 Scotland
102,BBC1 South
103,BBC1 South West
104,BBC1 West
105,BBC2
106,BBC2 East
107,BBC2 London & South East
108,BBC2 Midlands
109,BBC2 North West
110,BBC2 North
111,BBC2 North East
112,BBC2 Northern Ireland
113,BBC2 Scotland
114,BBC2 Wales
115,BBC2 South
116,BBC2 South West
117,BBC2 West
118,Bangla TV
119,Biography Channel
120,Bloomberg
122,Bravo
123,British Eurosport
124,Eurosport
125,CNBC
126,CNN
128,Cartoon Network
129,Boomerang +1
131,Challenge
132,Channel 4
133,S4C
134,Five
136,Christian TV
137,God Europe
147,Discovery Channel
148,Discovery Knowledge
149,Discovery Home & Health
150,Discovery Real Time
152,Discovery Channel +1
153,Discovery Science
